Name,Day,Time,Date,lc,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
173715,1-May-18,0:01:03,2018-05-01 00:01:03,G,8,7,35,7,0,6,-62.4733,-60.7964,01:10.2,FastGPS,-62.4733,-60.7964,,,2.5,0.2,,,,15,5,17559,,,,28,29527,,,,30,26466,,,,9,10322,,,,13,3319,,,,7,24570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,0:31:10,2018-05-01 00:31:10,G,3,7,36,7,0,5,-62.4774,-60.8121,31:17.7,FastGPS,-62.4774,-60.8121,,,4.4,0.7,,,,15,7,13761,,,,28,21813,,,,30,28820,,,,5,25534,,,,13,17125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,1:01:01,2018-05-01 01:01:01,G,4,7,37,7,0,5,-62.4734,-60.8223,01:09.2,FastGPS,-62.4734,-60.8223,,,7.3,1.2,,,,15,7,26941,,,,5,15446,,,,30,9015,,,,8,31672,,,,13,12777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,1:46:08,2018-05-01 01:46:08,G,3,7,38,8,0,6,-62.4682,-60.8524,46:15.7,FastGPS,-62.4682,-60.8524,,,11,0.7,,,,15,18,19335,,,,30,3644,,,,28,26529,,,,11,2581,,,,17,28521,,,,8,26325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,3:32:13,2018-05-01 03:32:13,G,3,7,39,,0,9,-62.4748,-60.8369,32:21.2,FastGPS,-62.4748,-60.8369,,,9.1,1.2,,,,15,17,27530,,,,28,27168,,,,1,31734,,,,15,30386,,,,24,28466,,,,11,26858,,,,18,14692,,,,13,24489,,,,19,19496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,5:33:13,2018-05-01 05:33:13,G,1,7,42,15,0,6,-62.4988,-60.849,33:21.2,FastGPS,-62.4988,-60.849,,,11.1,1.2,,,,15,17,4785,,,,24,9547,,,,12,107,,,,19,25589,,,,2,2325,,,,22,27587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,7:05:15,2018-05-01 07:05:15,G,3,7,44,17,0,6,-62.4987,-60.8491,05:22.7,FastGPS,-62.4987,-60.8491,,,9.4,0.7,,,,15,31,20190,,,,14,25481,,,,29,6904,,,,12,18197,,,,32,4641,,,,2,13768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,7:35:08,2018-05-01 07:35:08,G,2,7,45,17,0,6,-62.499,-60.8486,35:16.2,FastGPS,-62.499,-60.8486,,1,4.5,1.2,,,,15,29,25997,,,,31,7236,,,,25,18422,,,,12,12438,,,,14,4384,,,,4,31386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,9:07:36,2018-05-01 09:07:36,G,1,7,47,19,0,4,-62.547,-60.867,5/2/2018 8:22,K,,,,,,,,,,15,25,24033,,,,29,19158,,,,4,12262,,,,5,31540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,10:45:35,2018-05-01 10:45:35,G,1,7,49,21,0,5,-62.548,-60.856,5/2/2018 9:48,R,-62.5,-60.845,,1,0.8,0.7,,,,15,16,24895,,,,27,13337,,,,26,24728,,,,4,9165,,,,21,27693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,11:34:25,2018-05-01 11:34:25,G,1,7,50,,0,9,-62.5008,-60.8435,34:32.7,FastGPS,-62.5008,-60.8435,,1,14.5,0.7,,,,15,4,4052,,,,10,30830,,,,26,22647,,,,29,10424,,,,16,12135,,,,20,22186,,,,7,20677,,,,27,3533,,,,21,31216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,14:01:12,2018-05-01 14:01:12,G,2,7,51,29,0,4,-62.548,-60.856,5/2/2018 9:48,R,-62.5014,-60.8434,,,1.6,0.2,,,,15,27,25996,,,,32,12370,,,,10,5626,,,,11,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,18:13:06,2018-05-01 18:13:06,G,2,7,55,,0,9,-62.5099,-60.8535,13:13.7,FastGPS,-62.5099,-60.8535,,,9.9,0.7,,,,15,17,7615,,,,23,28625,,,,19,1344,,,,3,13876,,,,1,880,,,,11,6845,,,,22,9442,,,,6,26774,,,,12,7952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,19:19:00,2018-05-01 19:19:00,G,2,7,57,36,0,6,-62.5118,-60.8468,19:07.2,FastGPS,-62.5118,-60.8468,,,9.6,0.2,,,,15,23,17757,,,,19,30914,,,,31,20299,,,,6,10105,,,,17,31324,,,,9,21053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,21:24:35,2018-05-01 21:24:35,G,2,7,60,38,0,8,-62.5158,-60.8503,24:41.8,FastGPS,-62.5158,-60.8503,,,19.8,-0.2,,,,15,7,9181,,,,23,30754,,,,5,22334,,,,6,4459,,,,9,26564,,,,16,15056,,,,30,29873,,,,29,24084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,22:42:20,2018-05-01 22:42:20,G,1,7,62,39,0,4,-62.548,-60.856,5/2/2018 9:48,R,-62.5162,-60.8505,,,2.1,0.8,,,,15,9,7179,,,,7,9992,,,,2,12575,,,,13,21247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,1-May-18,23:28:02,2018-05-01 23:28:02,G,1,7,63,40,0,6,-62.5169,-60.8511,28:10.2,FastGPS,-62.5169,-60.8511,,,2.3,1.2,,,,15,9,15558,,,,8,27741,,,,28,19109,,,,7,30859,,,,5,29546,,,,30,16056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,2-May-18,1:50:06,2018-05-02 01:50:06,G,2,7,65,45,0,5,-62.5219,-60.8571,50:14.2,FastGPS,-62.5219,-60.8571,,,10.8,1.2,,,,15,28,22585,,,,15,19302,,,,30,3042,,,,13,20621,,,,24,22517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,2-May-18,3:11:35,2018-05-02 03:11:35,G,1,7,66,48,0,6,-62.5199,-60.8673,11:42.2,FastGPS,-62.5199,-60.8673,,,2.9,0.2,,,,15,17,19989,,,,19,27054,,,,28,30931,,,,13,28822,,,,15,4656,,,,1,14416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,2-May-18,12:05:00,2018-05-02 12:05:00,G,2,7,77,,0,9,-62.5536,-60.875,05:08.2,FastGPS,-62.5536,-60.875,,1,17.7,1.2,,,,15,20,4828,,,,21,15145,,,,16,18834,,,,10,24588,,,,15,11796,,,,7,1828,,,,8,9558,,,,4,8055,,,,26,8481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,2-May-18,13:10:04,2018-05-02 13:10:04,G,1,7,79,60,0,4,-62.534,-60.889,5/3/2018 10:57,N,-62.5481,-60.8863,,,0.2,1.2,,,,15,10,8167,,,,27,13356,,,,21,14174,,,,30,15072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,2-May-18,23:19:09,2018-05-02 23:19:09,G,1,7,91,73,0,4,-62.534,-60.889,5/3/2018 10:57,N,-62.5211,-60.881,,,1.1,0.7,,,,15,27,18845,,,,7,15694,,,,5,9292,,,,16,6434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,0:55:22,2018-05-03 00:55:22,G,1,7,94,73,0,6,-62.4913,-60.8509,55:29.3,FastGPS,-62.4913,-60.8509,,,4.7,0.3,,,,15,8,22453,,,,7,8284,,,,28,24416,,,,15,10349,,,,13,8688,,,,30,28358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,6:47:00,2018-05-03 06:47:00,G,1,7,98,86,0,8,-62.5346,-60.8871,47:07.3,FastGPS,-62.5346,-60.8871,,,9.5,0.3,,,,15,29,24988,,,,12,32153,,,,14,11840,,,,25,1394,,,,31,14142,,,,3,2713,,,,32,5069,,,,2,24602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,7:36:00,2018-05-03 07:36:00,G,2,7,99,87,0,7,-62.5402,-60.8893,36:08.3,FastGPS,-62.5402,-60.8893,,1,7,1.3,,,,15,31,6793,,,,29,4905,,,,25,1336,,,,12,31389,,,,23,12662,,,,4,21939,,,,6,7245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,10:51:02,2018-05-03 10:51:02,G,2,7,103,91,0,8,-62.5337,-60.8881,51:10.3,FastGPS,-62.5337,-60.8881,,1,13.3,1.3,,,,15,29,22827,,,,20,30674,,,,4,19999,,,,26,14508,,,,27,19984,,,,21,1091,,,,15,25575,,,,16,26500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,11:26:09,2018-05-03 11:26:09,G,1,7,104,91,0,5,-62.5424,-60.8875,26:17.3,FastGPS,-62.5424,-60.8875,,,7.8,1.3,,,,15,20,32349,,,,26,2026,,,,21,10590,,,,15,5077,,,,27,15562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,12:44:35,2018-05-03 12:44:35,G,1,7,106,92,0,5,-62.5384,-60.9198,44:41.8,FastGPS,-62.5384,-60.9198,,,10.1,-0.2,,,,15,15,24650,,,,20,21847,,,,10,26543,,,,13,11845,,,,21,13635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,13:29:00,2018-05-03 13:29:00,G,1,7,107,93,0,4,-62.577,-61.237,5/4/2018 9:13,K,-62.5455,-60.9351,,,1.1,0.3,,,,15,10,16947,,,,18,4086,,,,8,24625,,,,27,30982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,14:17:04,2018-05-03 14:17:04,G,2,7,108,,0,9,-62.5417,-60.9332,17:11.3,FastGPS,-62.5417,-60.9332,,,2.6,0.3,,,,15,18,6992,,,,8,28134,,,,11,5098,,,,27,2097,,,,28,18683,,,,24,19768,,,,32,32696,,,,10,5635,,,,15,32332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,14:47:00,2018-05-03 14:47:00,G,1,7,109,94,0,5,-62.5384,-60.9225,47:07.3,FastGPS,-62.5384,-60.9225,,,1.8,0.3,,,,15,11,2641,,,,18,983,,,,8,2418,,,,1,29007,,,,28,21206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,16:05:04,2018-05-03 16:05:04,G,1,7,110,97,0,5,-62.5506,-60.9249,05:11.3,FastGPS,-62.5506,-60.9249,,,1.2,0.3,,,,15,10,7348,,,,14,29770,,,,32,29422,,,,18,18598,,,,11,30356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,17:53:11,2018-05-03 17:53:11,G,2,7,113,98,0,6,-62.543,-60.9286,53:17.8,FastGPS,-62.543,-60.9286,,,3,-0.2,,,,15,31,32442,,,,18,8463,,,,11,8171,,,,22,18327,,,,17,21176,,,,14,4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,18:23:35,2018-05-03 18:23:35,G,1,7,114,98,0,6,-62.5428,-60.9325,23:41.8,FastGPS,-62.5428,-60.9325,,1,1.3,-0.2,,,,15,23,18159,,,,22,17002,,,,31,22754,,,,17,5701,,,,14,16708,,,,3,1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,3-May-18,21:28:37,2018-05-03 21:28:37,G,1,7,119,,0,9,-62.4818,-60.8513,28:44.3,FastGPS,-62.4818,-60.8513,,1,13.6,0.3,,,,15,5,20891,,,,2,27247,,,,4,22810,,,,26,3961,,,,29,24494,,,,7,3665,,,,23,28959,,,,9,2790,,,,16,5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,1:14:11,2018-05-04 01:14:11,G,1,7,123,106,0,5,-62.5013,-60.879,14:18.8,FastGPS,-62.5013,-60.879,,,2.7,0.8,,,,15,15,8356,,,,5,20516,,,,13,18133,,,,20,8493,,,,8,19500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,1:44:04,2018-05-04 01:44:04,G,1,7,124,106,0,4,-62.781,-61.545,5/5/2018 0:33,K,-62.5217,-60.8686,,,1,0.8,,,,15,15,28331,,,,20,19894,,,,13,23984,,,,28,27547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,3:01:40,2018-05-04 03:01:40,G,1,7,192,,0,7,-62.781,-61.545,5/5/2018 0:33,K,-62.5807,-61.3141,,3,1.8,-4.5,,,,15,15,746,,,,24,1286,,,,12,8657,,,,26,30933,,,,19,9789,,,,16,21809,,,,14,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,3:35:29,2018-05-04 03:35:29,G,2,7,382,108,0,6,-62.574,-60.9352,35:37.3,FastGPS,-62.574,-60.9352,,,9.9,1.3,,,,15,17,18146,,,,15,15331,,,,19,30329,,,,13,17816,,,,10,1352,,,,32,29781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,4:05:24,2018-05-04 04:05:24,G,2,7,383,108,0,6,-62.5874,-60.9611,05:31.8,FastGPS,-62.5874,-60.9611,,,6.7,0.8,,,,15,15,5946,,,,24,14019,,,,32,16298,,,,12,28160,,,,10,27762,,,,17,29461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,8:14:00,2018-05-04 08:14:00,G,1,7,387,110,0,6,-62.5763,-61.174,14:08.3,FastGPS,-62.5763,-61.174,,,3.7,1.3,,,,15,5,28795,,,,31,24629,,,,12,30940,,,,25,18328,,,,29,2885,,,,26,15917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,9:05:59,2018-05-04 09:05:59,G,2,7,388,111,0,7,-62.5886,-61.2112,06:07.3,FastGPS,-62.5886,-61.2112,,1,5.1,1.3,,,,15,29,2004,,,,25,3688,,,,5,1862,,,,31,26784,,,,4,24203,,,,16,23540,,,,21,6766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,9:40:34,2018-05-04 09:40:34,G,4,7,389,111,0,5,-62.762,-61.54,5/5/2018 5:17,A,-62.59,-61.1909,,1,0.4,2.2,,,,15,5,16892,,,,26,27140,,,,16,4439,,,,4,29697,,,,29,19350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,10:55:15,2018-05-04 10:55:15,G,1,7,390,111,0,4,-62.762,-61.54,5/5/2018 5:17,A,,,,,,,,,,15,4,12616,,,,20,2964,,,,26,14073,,,,16,20939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173715,4-May-18,13:49:54,2018-05-04 13:49:54,G,1,7,394,,0,9,-62.6661,-61.3227,50:02.3,FastGPS,-62.6661,-61.3227,,,12.1,1.3,,,,15,18,18068,,,,11,14580,,,,8,12808,,,,15,31233,,,,10,10176,,,,20,13014,,,,1,14159,,,,27,28492,,,,28,19631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
