Name,Day,Time,Date,lc,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
180855,28-Apr-19,14:47:01,2019-04-28 14:47:01,G,12,,29,,0,9,-62.4657,-60.7808,47:01.5,FastGPS,-62.4657,-60.7808,,,13.5,0.5,,,,15,14,30713,,,,22,16627,,,,8,9316,,,,10,18142,,,,32,29525,,,,18,5987,,,,27,10248,,,,11,20301,,,,3,31946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,28-Apr-19,15:48:09,2019-04-28 15:48:09,G,16,,30,,0,9,-62.4574,-60.7664,48:08.4,FastGPS,-62.4574,-60.7664,,,6.6,-0.6,,,,15,17,23508,,,,18,14578,,,,11,1705,,,,22,20553,,,,14,20694,,,,32,31184,,,,1,23531,,,,19,13461,,,,3,19965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,28-Apr-19,17:54:00,2019-04-28 17:54:00,G,4,,31,6,0,7,-62.4129,-60.7385,54:00.0,FastGPS,-62.4129,-60.7385,,,3.8,0,,,,15,31,10184,,,,23,6385,,,,3,21513,,,,22,17716,,,,17,27980,,,,19,26087,,,,1,2710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,28-Apr-19,18:55:48,2019-04-28 18:55:48,G,28,,32,6,0,8,-62.3764,-60.7785,55:48.4,FastGPS,-62.3764,-60.7785,,1,5.2,0.4,,,,15,3,20130,,,,23,4618,,,,22,6985,,,,4,25777,,,,9,41,,,,31,1651,,,,19,17563,,,,6,27870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,28-Apr-19,19:57:39,2019-04-28 19:57:39,G,10,,33,6,0,7,-62.342,-60.838,57:38.4,FastGPS,-62.342,-60.838,,,10.8,-0.5,,,,15,7,10156,,,,23,17943,,,,6,9396,,,,3,23846,,,,16,6050,,,,2,28290,,,,9,20842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,28-Apr-19,21:16:27,2019-04-28 21:16:27,G,10,,34,7,0,7,-62.2935,-60.9139,16:27.0,FastGPS,-62.2935,-60.9139,,1,2.1,0,,,,15,23,10041,,,,7,15805,,,,9,13441,,,,30,32470,,,,16,10587,,,,4,8063,,,,2,21870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,28-Apr-19,23:01:00,2019-04-28 23:01:00,G,16,,35,10,0,7,-62.2295,-61.0077,00:59.4,FastGPS,-62.2295,-61.0077,,1,12.1,-0.6,,,,15,7,29475,,,,5,29745,,,,30,14729,,,,4,15859,,,,13,2978,,,,28,27163,,,,15,29147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,0:17:21,2019-04-29 00:17:21,G,12,,36,11,0,8,-62.1934,-61.0582,17:19.9,FastGPS,-62.1934,-61.0582,,,5,-1.1,,,,15,15,7043,,,,7,21508,,,,30,18047,,,,13,29221,,,,8,13285,,,,28,21949,,,,27,9352,,,,5,29521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,1:32:00,2019-04-29 01:32:00,G,8,,37,12,0,7,-62.2024,-61.0549,31:58.9,FastGPS,-62.2024,-61.0549,,,3.9,-1.1,,,,15,15,8967,,,,13,1506,,,,17,30699,,,,28,2826,,,,18,27696,,,,20,3139,,,,10,19479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,2:47:00,2019-04-29 02:47:00,G,8,,38,13,0,8,-62.2116,-61.0571,46:58.9,FastGPS,-62.2116,-61.0571,,,12.9,-1.1,,,,15,15,24110,,,,10,25988,,,,24,19103,,,,13,13114,,,,28,32121,,,,1,7861,,,,17,22884,,,,11,14100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,3:49:38,2019-04-29 03:49:38,G,8,,39,13,0,6,-62.2191,-61.0611,49:37.4,FastGPS,-62.2191,-61.0611,,,14.4,-0.6,,,,15,32,21496,,,,12,14088,,,,14,14960,,,,22,32091,,,,24,15916,,,,1,27082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,5:35:59,2019-04-29 05:35:59,G,8,,40,,0,9,-62.2293,-61.0685,35:59.4,FastGPS,-62.2293,-61.0685,,,5.7,0.4,,,,15,32,24386,,,,12,25958,,,,25,28027,,,,31,23195,,,,3,10931,,,,2,25307,,,,14,18774,,,,24,20947,,,,19,19079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,6:59:00,2019-04-29 06:59:00,G,18,,41,17,0,6,-62.2431,-61.0565,58:59.9,FastGPS,-62.2431,-61.0565,,,12.3,-0.1,,,,15,31,24971,,,,29,808,,,,23,3487,,,,6,2509,,,,2,32021,,,,25,19799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,9:33:45,2019-04-29 09:33:45,G,6,,42,17,0,8,-62.2771,-60.9964,33:44.4,FastGPS,-62.2771,-60.9964,,1,7.6,-0.6,,,,15,26,23961,,,,5,19500,,,,16,12382,,,,7,18650,,,,4,1190,,,,21,19651,,,,29,5240,,,,9,32379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,15:30:39,2019-04-29 15:30:39,G,10,,43,17,0,8,-62.3611,-60.7918,30:39.4,FastGPS,-62.3611,-60.7918,,,5,0.4,,,,15,17,9357,,,,10,4961,,,,24,2662,,,,1,2991,,,,22,12653,,,,19,19283,,,,11,12850,,,,32,8007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,16:32:25,2019-04-29 16:32:25,G,12,,44,17,0,7,-62.375,-60.7374,32:24.4,FastGPS,-62.375,-60.7374,,,7.6,-0.6,,,,15,12,23563,,,,32,7740,,,,17,25678,,,,19,31422,,,,3,31907,,,,14,10998,,,,31,11087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,18:39:01,2019-04-29 18:39:01,G,6,,45,17,0,6,-62.4134,-60.642,38:59.9,FastGPS,-62.4134,-60.642,,,3.7,-1.1,,,,15,31,620,,,,6,7334,,,,9,13876,,,,25,12025,,,,2,11893,,,,19,24977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,20:28:52,2019-04-29 20:28:52,G,16,,46,,0,9,-62.4495,-60.5612,28:51.9,FastGPS,-62.4495,-60.5612,,1,10,-0.1,,,,15,5,20638,,,,2,7011,,,,7,26646,,,,4,3018,,,,29,9986,,,,9,15996,,,,6,30291,,,,26,11815,,,,23,19202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,29-Apr-19,22:51:29,2019-04-29 22:51:29,G,18,,47,,0,9,-62.5083,-60.5011,51:29.4,FastGPS,-62.5083,-60.5011,,,3.7,0.4,,,,15,5,18232,,,,13,30935,,,,7,30601,,,,21,24165,,,,8,14754,,,,27,9920,,,,30,28121,,,,16,21501,,,,9,31586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180855,30-Apr-19,0:08:22,2019-04-30 00:08:22,G,10,,48,19,0,5,-62.5262,-60.4509,08:21.9,FastGPS,-62.5262,-60.4509,,,3.7,-0.1,,,,15,7,12743,,,,30,30624,,,,15,21205,,,,28,4457,,,,5,10936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
