Name,Day,Time,Date,lc,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
180857,20-Apr-19,19:14:00,2019-04-20 19:14:00,G,38,,30,2,0,6,-62.4704,-60.7715,14:00.5,FastGPS,-62.4704,-60.7715,,,1.2,0.5,,,,15,22,17770,,,,3,11758,,,,23,4496,,,,31,28214,,,,26,12829,,,,1,13896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180857,20-Apr-19,20:14:00,2019-04-20 20:14:00,G,14,,31,2,1,8,-62.4705,-60.7711,14:00.5,FastGPS,-62.4705,-60.7711,,1,6.9,0.5,,,,15,23,19282,,,,3,32525,,,,9,28535,,,,6,12539,,,,16,21523,,,,26,15352,,,,22,5881,,,,4,6824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180857,21-Apr-19,20:26:26,2019-04-21 20:26:26,G,28,,32,,0,9,-62.4539,-60.7767,26:27.0,FastGPS,-62.4539,-60.7767,,1,6.4,1,,,,15,4,30510,,,,2,5538,,,,16,14886,,,,9,30157,,,,6,18550,,,,26,2281,,,,23,27935,,,,3,27480,,,,29,18346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180857,21-Apr-19,21:26:00,2019-04-21 21:26:00,G,20,,33,4,0,8,-62.4401,-60.7821,26:01.0,FastGPS,-62.4401,-60.7821,,1,14.4,1,,,,15,7,25897,,,,23,17063,,,,16,3250,,,,4,23250,,,,2,6970,,,,9,27224,,,,6,20646,,,,30,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180857,21-Apr-19,22:30:14,2019-04-21 22:30:14,G,30,,34,4,0,8,-62.4327,-60.7805,30:14.0,FastGPS,-62.4327,-60.7805,,1,10.6,0,,,,15,5,13552,,,,7,25516,,,,4,9028,,,,30,2970,,,,27,8537,,,,9,13058,,,,13,7580,,,,16,18600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180857,21-Apr-19,23:30:20,2019-04-21 23:30:20,G,36,,35,4,0,6,-62.4277,-60.7865,30:20.5,FastGPS,-62.4277,-60.7865,,1,1,0.5,,,,15,7,17096,,,,5,14294,,,,13,24362,,,,30,1271,,,,4,29762,,,,9,6447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180857,22-Apr-19,0:31:18,2019-04-22 00:31:18,G,14,,36,,0,9,-62.4197,-60.7954,31:18.0,FastGPS,-62.4197,-60.7954,,1,12.4,0,,,,15,28,16355,,,,15,29656,,,,30,31032,,,,13,16544,,,,7,2541,,,,27,30859,,,,8,850,,,,4,9760,,,,5,29095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180857,22-Apr-19,2:04:00,2019-04-22 02:04:00,G,12,,37,,0,9,-62.4214,-60.8251,04:00.5,FastGPS,-62.4214,-60.8251,,,6.2,0.5,,,,15,15,28837,,,,28,18580,,,,13,11863,,,,11,5800,,,,24,9428,,,,17,543,,,,1,28528,,,,18,22436,,,,20,22557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180857,22-Apr-19,3:04:01,2019-04-22 03:04:01,G,4,,38,6,0,8,-62.4292,-60.8459,04:02.0,FastGPS,-62.4292,-60.8458,,,8.2,1,,,,15,24,31931,,,,12,27548,,,,15,30904,,,,28,24199,,,,1,5829,,,,11,20640,,,,13,6630,,,,18,1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180857,22-Apr-19,4:04:04,2019-04-22 04:04:04,G,20,,39,6,0,8,-62.434,-60.8567,04:05.0,FastGPS,-62.434,-60.8566,,,4.8,1,,,,15,17,20772,,,,19,18707,,,,1,808,,,,24,25190,,,,12,7332,,,,22,13575,,,,32,20043,,,,15,9540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
