Name,Day,Time,Date,lc,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
180851,1-May-19,18:42:02,2019-05-01 18:42:02,G,16,,30,,0,9,-62.4521,-60.7823,42:01.8,FastGPS,-62.4521,-60.7823,,1,10.4,-0.2,,,,15,31,9778,,,,23,7402,,,,3,29550,,,,4,21460,,,,19,26782,,,,6,31026,,,,22,18932,,,,9,30827,,,,2,31646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180851,1-May-19,19:42:02,2019-05-01 19:42:02,G,18,,31,8,0,6,-62.4262,-60.8306,42:01.8,FastGPS,-62.4262,-60.8306,,1,4.1,-0.2,,,,15,7,21663,,,,23,18484,,,,6,10554,,,,9,9531,,,,2,20938,,,,4,2363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180851,1-May-19,20:42:53,2019-05-01 20:42:53,G,4,,32,,0,9,-62.3977,-60.9467,42:52.8,FastGPS,-62.3977,-60.9467,,1,8.2,-0.2,,,,15,5,26440,,,,7,13920,,,,2,5704,,,,9,20646,,,,23,13632,,,,26,14308,,,,6,19982,,,,30,20137,,,,4,12516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180851,1-May-19,21:44:23,2019-05-01 21:44:23,G,8,,33,,0,9,-62.3782,-61.0921,44:23.8,FastGPS,-62.3782,-61.0921,,1,8.7,0.8,,,,15,7,6968,,,,9,8442,,,,30,5270,,,,5,19923,,,,4,32471,,,,16,6846,,,,13,1059,,,,2,10400,,,,27,4938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180851,1-May-19,23:00:05,2019-05-01 23:00:05,G,4,,34,,0,9,-62.3922,-61.3105,00:04.3,FastGPS,-62.3922,-61.3105,,1,6.6,-0.7,,,,15,7,3448,,,,30,27119,,,,5,22784,,,,13,23682,,,,15,27795,,,,4,15038,,,,28,29453,,,,8,16040,,,,9,14073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180851,2-May-19,0:01:27,2019-05-02 00:01:27,G,2,,35,9,0,8,-62.4183,-61.4713,01:26.8,FastGPS,-62.4183,-61.4713,,,14,-0.2,,,,15,15,5815,,,,13,1414,,,,28,17539,,,,30,460,,,,21,11249,,,,20,12154,,,,5,19436,,,,27,30088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180851,2-May-19,1:01:19,2019-05-02 01:01:19,G,4,,36,,0,9,-62.4746,-61.5452,01:19.3,FastGPS,-62.4746,-61.5452,,,6.9,0.3,,,,15,13,14582,,,,15,7462,,,,28,26777,,,,20,16316,,,,8,13272,,,,10,21926,,,,11,12249,,,,24,10093,,,,18,6019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180851,2-May-19,2:04:18,2019-05-02 02:04:18,G,6,,37,,0,9,-62.5068,-61.571,04:18.8,FastGPS,-62.5068,-61.571,,,11,0.8,,,,15,17,26632,,,,28,22510,,,,18,13909,,,,10,29997,,,,11,18090,,,,19,25875,,,,12,7388,,,,15,4579,,,,13,15147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180851,2-May-19,3:20:38,2019-05-02 03:20:38,G,10,,38,10,0,7,-62.5564,-61.5871,20:38.8,FastGPS,-62.5564,-61.5871,,,5.3,0.8,,,,15,12,26107,,,,15,12799,,,,17,15703,,,,24,16983,,,,19,6842,,,,32,10806,,,,1,3867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180851,2-May-19,4:20:43,2019-05-02 04:20:43,G,2,,39,,0,9,-62.6032,-61.5868,20:43.3,FastGPS,-62.6032,-61.5868,,,12.9,0.3,,,,15,17,5185,,,,24,20141,,,,32,3063,,,,12,26152,,,,14,28073,,,,25,31811,,,,22,13928,,,,3,14322,,,,6,16245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
