"id","date","lon","lat","x","y","x.se","y.se","logit_g","logit_g.se","g"
"173711",2018-01-22 15:00:00,-60.77225502448,-62.4699830741293,-6765.13648368408,-8933.52378967521,0.576510081595272,0.589233087120265,-0.0758567527798511,1.5474230032112,0.481044900293827
"173711",2018-01-22 21:00:00,-60.7852432161387,-62.4711198939975,-6766.58232256584,-8933.79719307041,4.59650802464014,4.61748071182495,-0.075858415996484,1.505783267349,0.481044485087268
"173711",2018-01-23 03:00:00,-60.7987217258403,-62.4735007346493,-6768.08274340248,-8934.369815335,1.36025636160922,1.37046403984346,-0.0759826861438004,1.46219218994328,0.481013462275255
"173711",2018-01-23 09:00:00,-60.8169335332422,-62.462486778997,-6770.11007252888,-8931.72120373662,0.157490856458894,0.190140892533052,-0.0764342193274214,1.44630608730072,0.480900742720188
"173711",2018-01-23 15:00:00,-60.7983412187981,-62.4740899497013,-6768.0403855523,-8934.51153606925,7.62913656143245,7.67001654396081,-0.0669329934310852,1.4309964817528,0.483272995959871
"173711",2018-01-23 21:00:00,-60.7964971761905,-62.4750640616702,-6767.83510766822,-8934.74584014459,7.91812019282414,7.96042845548248,-0.0294531264422615,1.38314094815285,0.492637250638975
"173711",2018-01-24 03:00:00,-60.7973705945835,-62.4749282299791,-6767.93233615898,-8934.71316795919,1.55119619799259,1.56504687618799,-0.017186306801882,1.36642876901492,0.495703529052753
"173711",2018-01-24 09:00:00,-60.8082543571152,-62.4638131660292,-6769.14391106193,-8932.040118472,0.184620127656496,0.21272813716153,0.00479882577976047,1.33493940819554,0.501199704142636
"173711",2018-01-24 15:00:00,-60.79624241163,-62.4752303065795,-6767.80674740708,-8934.785827956,4.49997436990071,4.52189759331806,0.0163982221947138,1.32155007409659,0.504099463686364
"173711",2018-01-24 21:00:00,-60.7961532380109,-62.4749629266195,-6767.7968206452,-8934.72151367831,3.42767554175089,3.44524533920907,0.0322426298032698,1.30408825270227,0.508059959210395
"173711",2018-01-25 03:00:00,-60.795253020298,-62.4755102456107,-6767.6966088678,-8934.85316375064,2.13908199930777,2.15225773601197,0.0407612180987061,1.29435435293843,0.510188893846092
"173711",2018-01-25 09:00:00,-60.7969834451617,-62.4747664040882,-6767.88923888249,-8934.67424347085,0.467341775429327,0.483622972650845,0.0457116150352609,1.2888217830191,0.51142591424151
"173711",2018-01-25 15:00:00,-60.796175293001,-62.4759324908916,-6767.79927579547,-8934.9547307122,1.08715742458877,1.09949580888619,0.0595930281753739,1.2744802026061,0.514893849558047
"173711",2018-01-25 21:00:00,-60.7952950080251,-62.4742991873947,-6767.7012829202,-8934.56186356355,5.10838227039414,5.13655778768212,0.0747392439378598,1.25845010818866,0.518676118131423
"173711",2018-01-26 03:00:00,-60.7978361370899,-62.4748336194368,-6767.98416011373,-8934.69041096347,1.75241641094423,1.76411489543897,0.0936570846657668,1.23795664528814,0.52339717101759
"173711",2018-01-26 09:00:00,-60.8004960649854,-62.4733623072237,-6768.28026193261,-8934.33652053605,0.782971954320136,0.791303711769757,0.10047959040705,1.23131556382696,0.525098784400528
"173711",2018-01-26 15:00:00,-60.795490167997,-62.4738318353736,-6767.7230080289,-8934.44945287006,0.755843421948692,0.769438441278894,0.110176069217401,1.22217633396937,0.52751618855228
"173711",2018-01-26 21:00:00,-60.7991963835,-62.4730459089071,-6768.13558205146,-8934.26042045815,3.31115929043659,3.32918216790104,0.130177879716136,1.20483441394098,0.532498588703092
"173711",2018-01-27 03:00:00,-60.794884995581,-62.4762736452349,-6767.65564054371,-8935.03679309606,0.3616735267182,0.375766205207211,0.14707276497505,1.19007486026305,0.536702058403247
"173711",2018-01-27 09:00:00,-60.8005956296177,-62.4712636122733,-6768.29134541677,-8933.8317578335,0.574525075825413,0.587473789690927,0.179532662219389,1.16187896846927,0.544762996771813
"173711",2018-01-27 15:00:00,-60.7988816470849,-62.4684306454116,-6768.100545754,-8933.15044986154,10.412889413799,10.4627776199956,0.246434636544156,1.09875477391512,0.561298749770317
"173711",2018-01-27 21:00:00,-60.8029250311915,-62.4733226071447,-6768.55065321383,-8934.32697183437,1.53151744455318,1.54293821969311,0.30239394770357,1.03830012446221,0.575027632671738
"173711",2018-01-28 03:00:00,-60.8345805874959,-62.5037370432322,-6772.07453362241,-8941.64601590272,0.42359452718036,0.432810918354297,0.364283891272273,0.96106978167879,0.590077046344459
"173711",2018-01-28 09:00:00,-60.8291310186865,-62.4798768248958,-6771.4678903975,-8935.90357116175,0.213897061255767,0.240161666927854,0.422822535883491,0.877917823300254,0.60415846024409
"173711",2018-01-28 15:00:00,-60.8022867602727,-62.472026016525,-6768.47960122015,-8934.01512159258,2.97600593232874,2.99293237240069,0.444893085383804,0.842215737599402,0.609424335433976
"173711",2018-01-28 21:00:00,-60.8448187375387,-62.4687307275841,-6773.21423927184,-8933.22261437733,3.77748888753106,3.79615415567569,0.463295204350482,0.810770321913119,0.613795598492222
"173711",2018-01-29 03:00:00,-60.8631106105178,-62.5104005494076,-6775.25048125753,-8943.25054666837,0.267214538452468,0.286562180718759,0.492261974614305,0.761580825842169,0.62063915080239
"173711",2018-01-29 09:00:00,-60.8526658670413,-62.4940691451018,-6774.08777773225,-8939.31868542574,0.106774631291673,0.152101270037159,0.501133939371826,0.738734321679361,0.622725774136441
"173711",2018-01-29 15:00:00,-60.8075910039022,-62.4692456393638,-6769.07006692003,-8933.34644335193,1.38535970484549,1.39651388644249,0.488470760664559,0.734832263637719,0.619746116525988
"173711",2018-01-29 21:00:00,-60.8426274058302,-62.4676211302045,-6772.97030134189,-8932.95577923458,1.25765834692523,1.26783379795668,0.486149683770777,0.73344584198934,0.619198977705392
"173711",2018-01-30 03:00:00,-60.8482164365042,-62.4666289928449,-6773.59246939055,-8932.7171992076,2.8021468855364,2.8171656772627,0.496192171723076,0.732809768255757,0.621564061034949
"173711",2018-01-30 09:00:00,-60.8772343243841,-62.456044553903,-6776.82272589323,-8930.17244564525,0.791685581621972,0.805593288662085,0.52833159402992,0.717551131418711,0.629093898771365
"173711",2018-01-30 15:00:00,-60.8003586938235,-62.4750197240653,-6768.26496984481,-8934.73517541192,8.16095479933722,8.19373668862785,0.556758611123143,0.695644947819592,0.635702214231416
"173711",2018-01-30 21:00:00,-60.793095632231,-62.4751735713816,-6767.45644952675,-8934.77218109863,2.62178224114584,2.64149619572163,0.613792397896668,0.626966645728726,0.64880541318396
"173711",2018-01-31 03:00:00,-60.827990448174,-62.4650223873156,-6771.34092266884,-8932.33087440632,0.619990280204139,0.635425765914732,0.626459363541618,0.607038377251062,0.651686200775938
"173711",2018-01-31 09:00:00,-60.8108760968357,-62.4567323439022,-6769.4357617926,-8930.33777943026,0.344519425643779,0.363543380980787,0.622188120456363,0.611090674079007,0.650716038688313
"173711",2018-01-31 15:00:00,-60.8252653607726,-62.4547217390722,-6771.03756732695,-8929.85447271112,0.38589509802418,0.400247892319445,0.643893100354016,0.649045690981404,0.655632970271308
"173711",2018-01-31 21:00:00,-60.8258219451374,-62.4598756638558,-6771.09952601502,-8931.09343217274,0.967663041286577,0.977156147254232,0.646395708170901,0.653243133379141,0.656197784722986
"173711",2018-02-01 03:00:00,-60.8807018637333,-62.4622923648351,-6777.20873060789,-8931.67446024713,5.37257187210482,5.41092589546779,0.665529939041672,0.647611408396244,0.660501516325044
"173711",2018-02-01 09:00:00,-60.9865117724615,-62.5096101931764,-6788.9874357684,-8943.06021501469,0.142077910916995,0.180800879630964,0.755095200645143,0.594894643679274,0.680287902839442
"173711",2018-02-01 15:00:00,-60.8807275047061,-62.5271972580239,-6777.21158494793,-8947.29668593898,0.142029062707476,0.178451413453465,0.79795491170518,0.551956717865077,0.689536847036411
"173711",2018-02-01 21:00:00,-60.8019225683905,-62.4745939231549,-6768.43905956528,-8934.63275632473,2.38649969230787,2.40051537992556,0.794039823088226,0.553025816324099,0.688698100048985
"173711",2018-02-02 03:00:00,-60.8681171690711,-62.5032838182307,-6775.80780880631,-8941.53689520648,0.980752428866054,0.990713697532531,0.775487869168602,0.565295241825221,0.684706832661157
"173711",2018-02-02 09:00:00,-60.8563576369551,-62.4884192603896,-6774.49874367919,-8937.95895204921,1.03146100068084,1.04121415615469,0.760387408039957,0.569232191373285,0.681437838357449
"173711",2018-02-02 15:00:00,-60.7895409663613,-62.4705300441766,-6767.06074593218,-8933.65533381082,7.43434565893794,7.46932277779008,0.746486302374755,0.58282638635159,0.678412600521237
"173711",2018-02-02 21:00:00,-60.7743576431965,-62.4674723104008,-6765.37054612892,-8932.91999191629,6.29804905674746,6.32969465622391,0.742318476869878,0.570984107501398,0.677502635105861
"173711",2018-02-03 03:00:00,-60.8302718573144,-62.4835114443054,-6771.59488797263,-8936.7780186549,1.30267627506935,1.31283085166456,0.73980947773607,0.551622986703989,0.676954192860243
"173711",2018-02-03 09:00:00,-60.906216736311,-62.4290000224203,-6780.04903323089,-8923.674393396,0.309829906523371,0.328182409760679,0.737994965854005,0.523401358710197,0.67655725497057
"173711",2018-02-03 15:00:00,-60.7877663951345,-62.4778315630289,-6766.86320156684,-8935.41155170112,2.34387084513094,2.36164981184798,0.732126941646232,0.5223116287344,0.6752718416396
"173711",2018-02-03 21:00:00,-60.7800056154516,-62.4707378723074,-6765.99927552438,-8933.70531628873,4.60722965838785,4.63082560746426,0.75507120438826,0.497660044269625,0.680282683720447
