"sim_id","lon","lat"
"173711_10",-62.4526418394549,-57.5529311025717
"173711_10",-62.7514655668084,-58.0622525033011
"173711_10",-62.6275999382598,-57.7424603982902
"173711_10",-62.6973917621278,-57.5283181666247
"173711_10",-62.9357870124495,-57.5552649067477
"173711_10",-63.0083458890297,-57.4217399240859
"173711_10",-62.9370325902135,-57.3488181707786
"173711_10",-62.9428229038222,-57.0941432618001
"173711_10",-62.931645023508,-56.795186789336
"173711_10",-63.1725825752009,-57.3125943044583
"173711_10",-63.1538628299707,-57.6690779671546
"173711_10",-63.1540611077498,-57.7759867470973
"173711_10",-63.0951026750386,-57.5105243110776
"173711_10",-63.2408547352999,-57.5448419548437
"173711_10",-63.2723274921178,-57.7297580692592
"173711_10",-63.2230503473864,-57.5273419664453
"173711_10",-63.3390562124658,-57.8907729021503
"173711_10",-63.2283379996183,-57.9048172420738
"173711_10",-63.1557914689072,-57.7376327203548
"173711_10",-62.8436755850197,-57.2707042750985
"173711_10",-62.8911932972068,-57.1237653097085
"173711_10",-62.9390378207988,-57.1910418700545
"173711_10",-63.0178042349335,-57.1026769395349
"173711_10",-62.9209257954101,-56.9894398613442
"173711_10",-62.8902642658841,-56.7517122819801
"173711_10",-62.9001840221349,-56.73834765544
"173711_10",-63.0717336113308,-57.3820164681772
"173711_10",-63.2109739280765,-57.8261708138471
"173711_10",-63.2087566765133,-57.5694616327926
"173711_10",-63.2574799928208,-57.8429509622089
"173711_10",-63.3321947233236,-57.7373092438031
"173711_10",-63.2131719121417,-57.3140479952553
"173711_10",-63.2202870308769,-57.4043135084572
"173711_10",-63.4852545874303,-57.6781743864376
"173711_10",-63.2961895969031,-57.2735663447028
"173711_10",-63.2882635441995,-57.1398604315866
"173711_10",-63.0404680172333,-56.9958775651689
"173711_10",-63.2299852527818,-56.8499687217403
"173711_10",-63.254653874122,-56.6956930692069
"173711_10",-63.2663157619022,-56.4630522144869
"173711_10",-63.1319184574571,-56.340926011289
"173711_10",-63.1739267718093,-56.0490111106462
"173711_10",-63.2661680122532,-55.9235920510871
"173711_10",-62.9749979049555,-55.8084679402083
"173711_10",-62.9533316881275,-56.1642625180609
"173711_10",-62.7723002706524,-55.9703415462527
"173711_10",-62.9233412778839,-55.8420105036027
"173711_10",-63.0829067529197,-55.8124780202486
"173711_10",-62.9370991973008,-55.8521312434087
"173711_10",-63.088288793181,-56.3376327064356
"173711_10",-62.8435690050306,-55.9714493868039
"173711_10",-62.796824093042,-55.4365186887308
"173711_10",-62.8781888732302,-55.5410920836473
"173711_10",-62.8030336203964,-55.5310670657569
"173711_10",-62.7809185864932,-55.1394700473609
"173711_10",-62.6394427607045,-55.3460232426637
"173711_10",-62.0202836240711,-55.2897246758724
"173711_10",-62.0441547677053,-55.1730513943531
"173711_10",-62.1409411208025,-55.2541744793315
"173711_10",-61.9946403577464,-55.0107698727196
"173711_10",-61.8519763453385,-54.9212112531683
"173711_10",-62.0738774357734,-54.763119469892
"173711_10",-61.8993317998846,-54.6895334369553
"173711_10",-61.9072126026652,-54.643031307495
"173711_10",-61.6467703485249,-54.2390723526151
"173711_10",-61.6387008484606,-54.4653318360863
"173711_10",-61.520742781317,-54.2181812368462
"173711_10",-61.4955872213112,-53.9969981937061
"173711_10",-61.2703372367406,-53.9572967985261
"173711_10",-61.5265043070369,-54.2358805630872
"173711_10",-61.7876783970064,-54.5060699788571
"173711_10",-61.9267045901652,-54.7578689456051
"173711_10",-61.9798469493066,-54.6093803197675
"173711_10",-61.9000029647914,-54.5332364877948
"173711_10",-62.0995623569093,-54.4793212958618
"173711_10",-62.2608855023896,-54.6319045490935
"173711_10",-62.2598326339959,-55.0200052154287
"173711_10",-62.1732947312194,-55.3500364365566
"173711_10",-62.247138036681,-55.2562230148109
"173711_10",-62.3783832842426,-55.0890652743367
"173711_10",-62.5488556410553,-55.1643083494774
"173711_10",-62.4073081785598,-54.7177211453247
"173711_10",-62.5323508725303,-54.7773374466915
"173711_10",-62.6102298938902,-54.5861544616009
"173711_10",-62.4775878186854,-54.3727928636337
"173711_10",-62.545077786576,-54.5557307265338
