"id","date","lon","lat","presence","track_id"
"173711",2018-01-22 15:00:00,-60.77225502448,-62.4699830741293,1,"173711_real"
"173711",2018-01-22 21:00:00,-60.7852432161387,-62.4711198939975,1,"173711_real"
"173711",2018-01-23 03:00:00,-60.7987217258403,-62.4735007346493,1,"173711_real"
"173711",2018-01-23 09:00:00,-60.8169335332422,-62.4624867789971,1,"173711_real"
"173711",2018-01-23 15:00:00,-60.7983412187981,-62.4740899497013,1,"173711_real"
"173711",2018-01-23 21:00:00,-60.7964971761905,-62.4750640616702,1,"173711_real"
"173711",2018-01-24 03:00:00,-60.7973705945835,-62.4749282299791,1,"173711_real"
"173711",2018-01-24 09:00:00,-60.8082543571152,-62.4638131660292,1,"173711_real"
"173711",2018-01-24 15:00:00,-60.79624241163,-62.4752303065795,1,"173711_real"
"173711",2018-01-24 21:00:00,-60.7961532380109,-62.4749629266195,1,"173711_real"
"173711",2018-01-25 03:00:00,-60.795253020298,-62.4755102456107,1,"173711_real"
"173711",2018-01-25 09:00:00,-60.7969834451617,-62.4747664040882,1,"173711_real"
"173711",2018-01-25 15:00:00,-60.796175293001,-62.4759324908916,1,"173711_real"
"173711",2018-01-25 21:00:00,-60.7952950080251,-62.4742991873947,1,"173711_real"
"173711",2018-01-26 03:00:00,-60.7978361370899,-62.4748336194368,1,"173711_real"
"173711",2018-01-26 09:00:00,-60.8004960649854,-62.4733623072237,1,"173711_real"
"173711",2018-01-26 15:00:00,-60.795490167997,-62.4738318353736,1,"173711_real"
"173711",2018-01-26 21:00:00,-60.7991963835,-62.4730459089071,1,"173711_real"
"173711",2018-01-27 03:00:00,-60.7948849955811,-62.4762736452349,1,"173711_real"
"173711",2018-01-27 09:00:00,-60.8005956296177,-62.4712636122733,1,"173711_real"
"173711",2018-01-27 15:00:00,-60.7988816470849,-62.4684306454116,1,"173711_real"
"173711",2018-01-27 21:00:00,-60.8029250311915,-62.4733226071447,1,"173711_real"
"173711",2018-01-28 03:00:00,-60.8345805874959,-62.5037370432322,1,"173711_real"
"173711",2018-01-28 09:00:00,-60.8291310186865,-62.4798768248958,1,"173711_real"
"173711",2018-01-28 15:00:00,-60.8022867602727,-62.472026016525,1,"173711_real"
"173711",2018-01-28 21:00:00,-60.8448187375387,-62.4687307275841,1,"173711_real"
"173711",2018-01-29 03:00:00,-60.8631106105178,-62.5104005494076,1,"173711_real"
"173711",2018-01-29 09:00:00,-60.8526658670413,-62.4940691451018,1,"173711_real"
"173711",2018-01-29 15:00:00,-60.8075910039022,-62.4692456393638,1,"173711_real"
"173711",2018-01-29 21:00:00,-60.8426274058302,-62.4676211302045,1,"173711_real"
"173711",2018-01-30 03:00:00,-60.8482164365042,-62.4666289928449,1,"173711_real"
"173711",2018-01-30 09:00:00,-60.8772343243841,-62.456044553903,1,"173711_real"
"173711",2018-01-30 15:00:00,-60.8003586938235,-62.4750197240653,1,"173711_real"
"173711",2018-01-30 21:00:00,-60.7930956322311,-62.4751735713816,1,"173711_real"
