Name,Day,Time,Date,lc,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
180842,13-May-19,20:51:05,2019-05-13 20:51:05,G,6,,36,1,0,8,-62.4663,-60.7853,51:03.7,FastGPS,-62.4663,-60.7853,,1,7.4,-1.3,,,,15,7,10714,,,,5,14669,,,,4,11504,,,,23,29225,,,,30,30314,,,,9,24932,,,,16,18398,,,,27,29596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180842,13-May-19,22:10:17,2019-05-13 22:10:17,G,10,,37,2,0,6,-62.4463,-60.8161,10:15.7,FastGPS,-62.4463,-60.8161,,1,4.5,-1.3,,,,15,5,20940,,,,9,17960,,,,4,22588,,,,7,9073,,,,8,14912,,,,28,22402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180842,13-May-19,23:10:00,2019-05-13 23:10:00,G,12,,38,2,0,4,-62.4276,-60.761,17:00.2,FastGPS,-62.4212,-60.887,,,17.1,-0.2,,,,15,7,8306,,,,30,19190,,,,5,8056,,,,11,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180842,14-May-19,0:10:06,2019-05-14 00:10:06,G,18,,39,2,0,6,-62.4,-60.9103,10:06.2,FastGPS,-62.4,-60.9103,,,4.1,0.3,,,,15,17,20964,,,,11,29410,,,,30,7418,,,,28,12219,,,,18,19783,,,,15,18870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180842,14-May-19,1:11:52,2019-05-14 01:11:52,G,10,,40,2,0,8,-62.4034,-60.8912,11:50.7,FastGPS,-62.4034,-60.8912,,,6.4,-1.2,,,,15,24,17208,,,,11,18914,,,,28,30900,,,,1,3383,,,,18,10062,,,,15,2504,,,,17,11551,,,,10,20754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180842,14-May-19,2:13:46,2019-05-14 02:13:46,G,8,,41,,0,9,-62.4016,-60.83,13:46.2,FastGPS,-62.4016,-60.83,,,9.7,0.2,,,,15,12,22856,,,,24,256,,,,10,25382,,,,32,12394,,,,17,2035,,,,1,29620,,,,28,2860,,,,18,7842,,,,11,29216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180842,14-May-19,3:14:00,2019-05-14 03:14:00,G,12,,42,2,0,7,-62.405,-60.8005,13:58.7,FastGPS,-62.405,-60.8005,,,15.6,-1.3,,,,15,17,25246,,,,12,476,,,,19,7607,,,,6,9763,,,,32,28625,,,,25,746,,,,2,7842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180842,14-May-19,4:14:21,2019-05-14 04:14:21,G,2,,43,2,0,6,-62.4133,-60.8012,14:19.8,FastGPS,-62.4133,-60.8012,,,3.3,-1.2,,,,15,17,18408,,,,19,14934,,,,6,17132,,,,12,13227,,,,2,30165,,,,24,25918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180842,14-May-19,5:16:41,2019-05-14 05:16:41,G,8,,44,2,0,8,-62.4245,-60.7823,16:41.2,FastGPS,-62.4245,-60.7824,,,10.6,0.2,,,,15,31,19528,,,,25,31348,,,,12,30994,,,,2,20971,,,,6,16974,,,,19,341,,,,29,21186,,,,3,14810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180842,14-May-19,6:17:01,2019-05-14 06:17:01,G,6,,45,2,0,4,-62.4276,-60.761,17:01.2,FastGPS,-62.4276,-60.761,,,0.6,0.2,,,,15,31,31040,,,,2,21678,,,,29,23991,,,,23,20628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
