"id","date","lon","lat","presence","track_id","bathy","day","sst","ice_conc","ice_na","ice_pct","uo","vo","ssh","dist_shelf","geometry"
"173711",2018-01-23 03:00:00,-60.7987217258403,-62.4735007346493,1,"173711_real",0,2018-01-23,2.87347027659416,0,TRUE,0,0.0561540573835373,0.0543229468166828,-1.65074617601931,-25892.7678893627,c(-60.7987217258403, -62.4735007346493)
"173711",2018-01-23 09:00:00,-60.8169335332422,-62.4624867789971,1,"173711_real",-21,2018-01-23,2.87347027659416,0,TRUE,0,0.0561540573835373,0.0543229468166828,-1.65074617601931,-24381.6036574422,c(-60.8169335332422, -62.4624867789971)
"173711",2018-01-23 15:00:00,-60.7983412187981,-62.4740899497013,1,"173711_real",0,2018-01-23,2.87347027659416,0,TRUE,0,0.0561540573835373,0.0543229468166828,-1.65074617601931,-25960.2228243404,c(-60.7983412187981, -62.4740899497013)
"173711",2018-01-23 21:00:00,-60.7964971761905,-62.4750640616702,1,"173711_real",0,2018-01-23,2.87347027659416,0,TRUE,0,0.0561540573835373,0.0543229468166828,-1.65074617601931,-26099.1319168039,c(-60.7964971761905, -62.4750640616702)
"173711",2018-01-24 03:00:00,-60.7973705945835,-62.4749282299791,1,"173711_real",0,2018-01-24,2.85515917092562,0,TRUE,0,0.0854518264532089,0.0195318460464478,-1.63609729148448,-26065.8685591176,c(-60.7973705945835, -62.4749282299791)
"173711",2018-01-24 09:00:00,-60.8082543571152,-62.4638131660292,1,"173711_real",-4,2018-01-24,2.85515917092562,0,TRUE,0,0.0854518264532089,0.0195318460464478,-1.63609729148448,-24709.8027472467,c(-60.8082543571152, -62.4638131660292)
"173711",2018-01-24 15:00:00,-60.79624241163,-62.4752303065795,1,"173711_real",0,2018-01-24,2.85515917092562,0,TRUE,0,0.0854518264532089,0.0195318460464478,-1.63609729148448,-26121.4870854102,c(-60.79624241163, -62.4752303065795)
"173711",2018-01-24 21:00:00,-60.7961532380109,-62.4749629266195,1,"173711_real",0,2018-01-24,2.85515917092562,0,TRUE,0,0.0854518264532089,0.0195318460464478,-1.63609729148448,-26096.7802826924,c(-60.7961532380109, -62.4749629266195)
"173711",2018-01-25 09:00:00,-60.7969834451617,-62.4747664040882,1,"173711_real",0,2018-01-25,2.75701164454222,0,TRUE,0,0.0976592302322388,0.076906643807888,-1.63884395733476,-26058.4264520977,c(-60.7969834451617, -62.4747664040882)
"173711",2018-01-25 15:00:00,-60.796175293001,-62.4759324908916,1,"173711_real",0,2018-01-25,2.75701164454222,0,TRUE,0,0.0976592302322388,0.076906643807888,-1.63884395733476,-26193.1640782889,c(-60.796175293001, -62.4759324908916)
"173711",2018-01-26 03:00:00,-60.7978361370899,-62.4748336194368,1,"173711_real",0,2018-01-26,2.74748986959457,0,TRUE,0,0.0579851679503918,0.043336283415556,-1.63670766167343,-26045.9195764869,c(-60.7978361370899, -62.4748336194368)
"173711",2018-01-26 09:00:00,-60.8004960649854,-62.4733623072237,1,"173711_real",-1,2018-01-26,2.74748986959457,0,TRUE,0,0.0579851679503918,0.043336283415556,-1.63670766167343,-25838.93547516,c(-60.8004960649854, -62.4733623072237)
"173711",2018-01-26 21:00:00,-60.7991963835,-62.4730459089071,1,"173711_real",0,2018-01-26,2.74748986959457,0,TRUE,0,0.0579851679503918,0.043336283415556,-1.63670766167343,-25836.6189390376,c(-60.7991963835, -62.4730459089071)
"173711",2018-01-27 09:00:00,-60.8005956296177,-62.4712636122733,1,"173711_real",-1,2018-01-27,2.65300456434488,0,TRUE,0,0.0207525864243507,-0.00854518264532089,-1.62541581317782,-25626.9777058618,c(-60.8005956296177, -62.4712636122733)
"173711",2018-01-27 21:00:00,-60.8029250311915,-62.4733226071447,1,"173711_real",-1,2018-01-27,2.65300456434488,0,TRUE,0,0.0207525864243507,-0.00854518264532089,-1.62541581317782,-25780.2141068201,c(-60.8029250311915, -62.4733226071447)
"173711",2018-01-28 03:00:00,-60.8345805874959,-62.5037370432322,1,"173711_real",0,2018-01-28,2.73137609660625,0,TRUE,0,0.0189214758574963,-0.0537125766277313,-1.62114322185516,-28186.8507397384,c(-60.8345805874959, -62.5037370432322)
"173711",2018-01-28 09:00:00,-60.8291310186865,-62.4798768248958,1,"173711_real",-2,2018-01-28,2.73137609660625,0,TRUE,0,0.0189214758574963,-0.0537125766277313,-1.62114322185516,-25869.2235348738,c(-60.8291310186865, -62.4798768248958)
"173711",2018-01-28 15:00:00,-60.8022867602727,-62.472026016525,1,"173711_real",-1,2018-01-28,2.73137609660625,0,TRUE,0,0.0189214758574963,-0.0537125766277313,-1.62114322185516,-25665.0375470248,c(-60.8022867602727, -62.472026016525)
"173711",2018-01-28 21:00:00,-60.8448187375387,-62.4687307275841,1,"173711_real",-23,2018-01-28,2.73137609660625,0,TRUE,0,0.0189214758574963,-0.0537125766277313,-1.62114322185516,-24407.4515626358,c(-60.8448187375387, -62.4687307275841)
"173711",2018-01-29 03:00:00,-60.8631106105178,-62.5104005494076,1,"173711_real",-13,2018-01-29,2.81487473845482,0,TRUE,0,0.0079348124563694,-0.0500503554940224,-1.63304544053972,-28333.8478624686,c(-60.8631106105178, -62.5104005494076)
"173711",2018-01-29 09:00:00,-60.8526658670413,-62.4940691451018,1,"173711_real",-12,2018-01-29,2.81487473845482,0,TRUE,0,0.0079348124563694,-0.0500503554940224,-1.63304544053972,-26837.0230485707,c(-60.8526658670413, -62.4940691451018)
"173711",2018-01-29 15:00:00,-60.8075910039022,-62.4692456393638,1,"173711_real",-2,2018-01-29,2.81487473845482,0,TRUE,0,0.0079348124563694,-0.0500503554940224,-1.63304544053972,-25267.6296720885,c(-60.8075910039022, -62.4692456393638)
"173711",2018-01-29 21:00:00,-60.8426274058302,-62.4676211302045,1,"173711_real",-23,2018-01-29,2.81487473845482,0,TRUE,0,0.0079348124563694,-0.0500503554940224,-1.63304544053972,-24341.635320261,c(-60.8426274058302, -62.4676211302045)
"173711",2018-01-30 03:00:00,-60.8482164365042,-62.4666289928449,1,"173711_real",-32,2018-01-30,2.85735650360584,0,TRUE,0,-0.043336283415556,-0.0390636920928955,-1.63579210639,-24122.4733139628,c(-60.8482164365042, -62.4666289928449)
"173711",2018-01-30 09:00:00,-60.8772343243841,-62.456044553903,1,"173711_real",-62,2018-01-30,2.73284098505974,0,TRUE,0,-0.0189214758574963,-0.0354014709591866,-1.63609729148448,-22448.8005110475,c(-60.8772343243841, -62.456044553903)
